WeatherCondition,TrafficCongestion,DistanceRemaining,Time_Taken_Hours
Storm,High,459.1,44.15
Storm,Low,793.3,47.4
Rain,High,1063.7,63.02
Clear,Low,764.6,23.06
Storm,High,8.8,0.78
Storm,Medium,436.4,37.91
Snow,Medium,892.9,50.84
Storm,Medium,185.8,15.05
Snow,Medium,527.5,36.92
Storm,Low,21.1,1.22
Fog,High,44.3,2.7
Clear,Low,957.1,23.73
Snow,Jam,1093.6,125.56
Clear,Low,1301.0,38.84
Storm,Low,594.9,29.93
Clear,Jam,1439.4,105.2
Fog,Jam,428.1,44.88
Storm,Low,155.8,9.27
Fog,Medium,802.4,44.56
Storm,Medium,1226.0,91.98
Rain,Jam,203.4,17.04
Rain,Low,1441.9,55.07
Snow,Low,377.9,20.5
Rain,Medium,930.0,48.11
Fog,Jam,234.3,19.18
Clear,Medium,85.7,3.13
Snow,Medium,874.1,51.06
Snow,Medium,168.4,10.12
Fog,High,824.0,46.98
Storm,Low,1018.6,69.31
Fog,Medium,976.8,49.02
Storm,Low,592.6,39.82
Storm,Low,937.0,57.84
Clear,Medium,1126.0,44.87
Storm,Jam,20.3,2.95
Storm,Jam,784.5,102.36
Storm,Jam,1321.5,169.21
Fog,Low,151.9,6.69
Storm,Medium,285.3,20.99
Fog,Medium,1337.7,75.29
Storm,Medium,1133.2,86.47
Storm,Jam,206.1,26.59
Storm,Jam,108.4,15.75
Fog,High,994.6,56.86
Snow,Low,342.6,18.43
Rain,Medium,1321.2,59.33
Snow,Low,127.0,6.55
Clear,Jam,704.6,47.38
Fog,High,20.6,1.35
Snow,Jam,405.0,43.48
Snow,Medium,593.8,30.29
Clear,Jam,174.6,10.72
Snow,Jam,1256.5,162.72
Clear,High,1385.2,63.41
Clear,Low,586.5,18.42
Rain,Medium,242.0,12.1
Storm,High,1415.9,141.73
Clear,High,5.4,0.27
Rain,Low,1343.7,56.29
Storm,Jam,311.4,44.51
Storm,Medium,1077.7,68.97
Fog,Medium,73.2,3.24
Fog,Low,1069.3,40.54
Rain,Medium,852.7,39.16
Storm,High,1230.9,101.76
Clear,High,1362.8,64.81
Clear,High,650.5,30.1
Snow,Low,457.4,23.82
